"","location","continent","date","people_fully_vaccinated","people_fully_vaccinated_per_hundred","new_cases","total_cases","new_deaths","new_deaths_per_million","total_deaths_per_million"
"70","Albania","Europe",2021-06-11,328546,11.44,11,132437,1,0.348,853.831
"71","Albania","Europe",2021-06-12,331147,11.53,12,132449,0,0,853.831
"72","Albania","Europe",2021-06-13,332173,11.56,10,132459,0,0,853.831
"73","Albania","Europe",2021-06-14,334771,11.65,2,132461,0,0,853.831
"74","Albania","Europe",2021-06-15,340576,11.85,8,132469,1,0.348,854.179
"75","Albania","Europe",2021-06-16,344945,12.01,7,132476,0,0,854.179
"76","Albania","Europe",2021-06-17,351453,12.23,5,132481,0,0,854.179
"77","Albania","Europe",2021-06-20,365028,12.71,2,132490,0,0,854.179
"78","Albania","Europe",2021-06-21,370378,12.89,0,132490,0,0,854.179
"79","Albania","Europe",2021-06-22,375629,13.07,6,132496,1,0.348,854.527
"80","Albania","Europe",2021-06-23,380649,13.25,1,132497,0,0,854.527
"81","Albania","Europe",2021-06-24,385868,13.43,2,132499,0,0,854.527
"82","Albania","Europe",2021-06-28,396139,13.79,1,132513,0,0,854.875
"83","Albania","Europe",2021-06-29,399246,13.9,1,132514,0,0,854.875
"84","Albania","Europe",2021-06-30,403504,14.05,7,132521,0,0,854.875
"85","Albania","Europe",2021-07-01,407402,14.18,2,132523,0,0,854.875
"86","Albania","Europe",2021-07-02,412147,14.35,3,132526,0,0,854.875
"87","Albania","Europe",2021-07-04,416791,14.51,1,132535,0,0,854.875
"88","Albania","Europe",2021-07-05,419894,14.62,2,132537,0,0,854.875
"89","Albania","Europe",2021-07-06,423158,14.73,7,132544,0,0,854.875
"90","Albania","Europe",2021-07-07,426111,14.83,13,132557,0,0,854.875
"91","Albania","Europe",2021-07-08,429191,14.94,8,132565,0,0,854.875
"92","Albania","Europe",2021-07-09,431722,15.03,15,132580,0,0,854.875
"93","Albania","Europe",2021-07-10,434170,15.11,7,132587,0,0,854.875
"94","Albania","Europe",2021-07-11,434926,15.14,5,132592,0,0,854.875
"95","Albania","Europe",2021-07-12,438758,15.27,5,132597,0,0,854.875
"96","Albania","Europe",2021-07-13,443165,15.43,11,132608,0,0,854.875
"97","Albania","Europe",2021-07-14,448830,15.62,8,132616,0,0,854.875
"98","Albania","Europe",2021-07-15,455131,15.84,13,132629,0,0,854.875
"99","Albania","Europe",2021-07-16,460655,16.03,18,132647,0,0,854.875
"100","Albania","Europe",2021-07-17,465434,16.2,18,132665,0,0,854.875
"101","Albania","Europe",2021-07-18,466905,16.25,21,132686,0,0,854.875
"102","Albania","Europe",2021-07-20,472886,16.46,43,132740,0,0,854.875
"103","Albania","Europe",2021-07-21,478861,16.67,23,132763,0,0,854.875
"104","Albania","Europe",2021-07-22,485295,16.89,34,132797,0,0,854.875
"105","Albania","Europe",2021-07-25,498724,17.36,22,132875,0,0,854.875
"106","Albania","Europe",2021-07-29,519013,18.07,47,132999,0,0,855.223
"107","Albania","Europe",2021-07-30,525215,18.28,37,133036,0,0,855.223
"108","Albania","Europe",2021-07-31,528718,18.4,45,133081,0,0,855.223
"109","Albania","Europe",2021-08-01,530322,18.46,40,133121,0,0,855.223
"110","Albania","Europe",2021-08-02,534823,18.62,25,133146,0,0,855.223
"111","Albania","Europe",2021-08-03,538588,18.75,65,133211,0,0,855.223
"112","Albania","Europe",2021-08-04,541637,18.85,99,133310,0,0,855.223
"113","Albania","Europe",2021-08-05,545036,18.97,132,133442,0,0,855.223
"114","Albania","Europe",2021-08-08,553482,19.27,182,133912,0,0,855.919
"115","Albania","Europe",2021-08-10,560007,19.49,220,134201,0,0,856.267
"116","Albania","Europe",2021-08-13,567455,19.75,379,135140,1,0.348,856.616
"117","Albania","Europe",2021-08-15,570233,19.85,397,135947,1,0.348,857.66
"118","Albania","Europe",2021-08-16,572816,19.94,200,136147,2,0.696,858.356
"119","Albania","Europe",2021-08-17,575342,20.03,451,136598,2,0.696,859.052
"120","Albania","Europe",2021-08-19,581242,20.23,522,137597,2,0.696,860.792
"121","Albania","Europe",2021-08-21,587625,20.45,658,138790,2,0.696,862.185
"122","Albania","Europe",2021-08-22,589253,20.51,534,139324,1,0.348,862.533
"123","Albania","Europe",2021-08-23,594050,20.68,397,139721,0,0,862.533
"124","Albania","Europe",2021-08-24,598949,20.85,800,140521,2,0.696,863.229
"125","Albania","Europe",2021-08-25,603259,21,844,141365,3,1.044,864.273
"126","Albania","Europe",2021-08-26,608539,21.18,888,142253,3,1.044,865.317
"127","Albania","Europe",2021-08-27,615422,21.42,921,143174,1,0.348,865.666
"128","Albania","Europe",2021-08-29,625809,21.78,768,144847,2,0.696,867.406
"129","Albania","Europe",2021-08-30,633878,22.06,486,145333,3,1.044,868.45
"130","Albania","Europe",2021-08-31,641920,22.34,1054,146387,3,1.044,869.494
"131","Albania","Europe",2021-09-01,648637,22.58,982,147369,3,1.044,870.539
"132","Albania","Europe",2021-09-02,655594,22.82,853,148222,4,1.392,871.931
"133","Albania","Europe",2021-09-06,673951,23.46,502,151499,4,1.392,876.804
"134","Albania","Europe",2021-09-07,681510,23.72,740,152239,4,1.392,878.196
"135","Albania","Europe",2021-09-08,687854,23.94,1079,153318,5,1.74,879.937
"136","Albania","Europe",2021-09-09,693421,24.14,998,154316,3,1.044,880.981
"137","Albania","Europe",2021-09-10,698597,24.32,977,155293,4,1.392,882.373
"138","Albania","Europe",2021-09-11,702833,24.46,869,156162,4,1.392,883.766
"139","Albania","Europe",2021-09-12,704626,24.53,864,157026,4,1.392,885.158
"140","Albania","Europe",2021-09-13,709343,24.69,410,157436,5,1.74,886.898
"141","Albania","Europe",2021-09-14,713517,24.84,995,158431,5,1.74,888.639
"142","Albania","Europe",2021-09-15,717404,24.97,992,159423,4,1.392,890.031
"143","Albania","Europe",2021-09-16,721614,25.12,942,160365,6,2.088,892.119
"144","Albania","Europe",2021-09-17,725838,25.26,959,161324,6,2.088,894.208
"145","Albania","Europe",2021-09-19,731577,25.46,780,162953,6,2.088,898.037
"146","Albania","Europe",2021-09-20,736594,25.64,451,163404,7,2.437,900.473
"147","Albania","Europe",2021-09-21,741819,25.82,872,164276,7,2.437,902.91
"148","Albania","Europe",2021-09-22,747441,26.02,820,165096,7,2.437,905.346
"149","Albania","Europe",2021-09-23,754020,26.25,768,165864,8,2.785,908.131
"150","Albania","Europe",2021-09-24,760960,26.49,826,166690,10,3.481,911.612
"151","Albania","Europe",2021-09-27,776148,27.02,295,168188,13,4.525,923.446
"152","Albania","Europe",2021-09-28,782578,27.24,594,168782,15,5.221,928.667
"153","Albania","Europe",2021-09-29,788538,27.45,680,169462,17,5.917,934.585
"154","Albania","Europe",2021-09-30,794878,27.67,669,170131,13,4.525,939.11
"155","Albania","Europe",2021-10-01,800553,27.87,647,170778,7,2.437,941.546
"156","Albania","Europe",2021-10-02,805420,28.03,549,171327,5,1.74,943.287
"157","Albania","Europe",2021-10-04,811765,28.26,0,171794,0,0,944.331
"158","Albania","Europe",2021-10-05,816459,28.42,824,172618,12,4.177,948.508
"159","Albania","Europe",2021-10-06,820946,28.58,572,173190,9,3.133,951.64
"160","Albania","Europe",2021-10-07,825110,28.72,533,173723,12,4.177,955.817
"161","Albania","Europe",2021-10-08,828940,28.85,445,174168,7,2.437,958.254
"162","Albania","Europe",2021-10-09,833070,29,475,174643,6,2.088,960.342
"163","Albania","Europe",2021-10-11,834469,29.05,195,175163,9,3.133,966.608
"164","Albania","Europe",2021-10-12,842316,29.32,501,175664,6,2.088,968.696
"165","Albania","Europe",2021-10-13,845877,29.44,508,176172,5,1.74,970.436
"166","Albania","Europe",2021-10-17,857201,29.84,435,177971,10,3.481,981.575
"167","Albania","Europe",2021-10-18,860194,29.94,217,178188,9,3.133,984.708
"168","Albania","Europe",2021-10-19,863314,30.05,616,178804,12,4.177,988.885
"169","Albania","Europe",2021-10-20,866201,30.15,659,179463,8,2.785,991.669
"170","Albania","Europe",2021-10-21,868964,30.25,566,180029,6,2.088,993.758
"171","Albania","Europe",2021-10-22,871496,30.33,594,180623,8,2.785,996.542
"172","Albania","Europe",2021-10-24,875773,30.48,444,181696,4,1.392,1000.371
"173","Albania","Europe",2021-10-25,878398,30.57,264,181960,6,2.088,1002.46
"174","Albania","Europe",2021-10-27,883307,30.75,672,183282,5,1.74,1006.984
"175","Albania","Europe",2021-10-28,885613,30.83,591,183873,9,3.133,1010.117
"176","Albania","Europe",2021-10-29,887865,30.9,467,184340,7,2.437,1012.554
"177","Albania","Europe",2021-11-01,891707,31.04,197,185497,7,2.437,1020.211
"178","Albania","Europe",2021-11-03,898625,31.28,571,186793,3,1.044,1023.344
"179","Albania","Europe",2021-11-06,904858,31.5,0,187994,0,0,1026.129
"180","Albania","Europe",2021-11-07,905876,31.53,1131,189125,7,2.437,1028.565
"181","Albania","Europe",2021-11-09,910845,31.7,770,190125,4,1.392,1033.786
"182","Albania","Europe",2021-11-10,913524,31.8,690,190815,5,1.74,1035.527
"183","Albania","Europe",2021-11-11,916432,31.9,625,191440,3,1.044,1036.571
"184","Albania","Europe",2021-11-14,924194,32.17,475,193075,4,1.392,1040.748
"185","Albania","Europe",2021-11-16,930527,32.39,587,193856,7,2.437,1045.621
"186","Albania","Europe",2021-11-17,933630,32.5,616,194472,10,3.481,1049.102
"187","Albania","Europe",2021-11-18,936539,32.6,549,195021,8,2.785,1051.886
"188","Albania","Europe",2021-11-21,942903,32.82,0,195988,0,0,1056.411
"189","Albania","Europe",2021-11-24,951371,33.11,609,197776,10,3.481,1066.157
"190","Albania","Europe",2021-11-25,953489,33.19,516,198292,5,1.74,1067.898
"191","Albania","Europe",2021-11-28,959555,33.4,418,199555,4,1.392,1075.207
"192","Albania","Europe",2021-11-30,961013,33.45,195,199945,4,1.392,1077.644
"193","Albania","Europe",2021-12-01,965964,33.62,228,200173,5,1.74,1079.384
"194","Albania","Europe",2021-12-03,971974,33.83,406,201045,4,1.392,1081.821
"195","Albania","Europe",2021-12-05,975573,33.96,328,201730,1,0.348,1082.517
"196","Albania","Europe",2021-12-06,978333,34.05,172,201902,5,1.74,1084.257
"197","Albania","Europe",2021-12-07,981170,34.15,393,202295,7,2.437,1086.694
"198","Albania","Europe",2021-12-08,982658,34.2,346,202641,4,1.392,1088.086
"199","Albania","Europe",2021-12-12,992353,34.54,263,203787,2,0.696,1090.871
"200","Albania","Europe",2021-12-13,995500,34.65,138,203925,6,2.088,1092.959
"201","Albania","Europe",2021-12-14,998326,34.75,376,204301,4,1.392,1094.352
"202","Albania","Europe",2021-12-15,1001189,34.85,326,204627,8,2.785,1097.136
"203","Albania","Europe",2021-12-18,1008465,35.1,325,205549,3,1.044,1100.269
"204","Albania","Europe",2021-12-21,1013806,35.29,376,206273,6,2.088,1106.186
"205","Albania","Europe",2021-12-23,1018549,35.45,319,206935,1,0.348,1107.23
"206","Albania","Europe",2021-12-28,1031132,35.89,643,208352,13,4.525,1116.28
"207","Albania","Europe",2022-01-04,1049525,36.53,1136,212021,4,1.392,1122.198
"208","Albania","Europe",2022-01-05,1053236,36.66,0,212021,0,0,1122.198
"209","Albania","Europe",2022-01-08,1060267,36.91,0,214905,0,0,1125.33
"210","Albania","Europe",2022-01-10,1064297,37.05,793,220487,1,0.348,1128.115
"211","Albania","Europe",2022-01-11,1067328,37.15,2177,222664,6,2.088,1130.203
"212","Albania","Europe",2022-01-30,1111520,38.69,1615,255741,5,1.74,1160.486
"213","Albania","Europe",2022-02-01,1156751,40.26,0,258543,0,0,1164.663
"214","Albania","Europe",2022-02-06,1166963,40.62,1452,264624,9,3.133,1176.498
"215","Albania","Europe",2022-02-07,1169470,40.71,251,264875,7,2.437,1178.934
"216","Albania","Europe",2022-02-13,1179476,41.05,457,268008,3,1.044,1186.94
"217","Albania","Europe",2022-02-14,1181246,41.12,296,268304,4,1.392,1188.332
"218","Albania","Europe",2022-02-15,1182883,41.17,187,268491,6,2.088,1190.421
"219","Albania","Europe",2022-02-16,1184292,41.22,449,268940,3,1.044,1191.465
"220","Albania","Europe",2022-02-20,1188503,41.37,260,270164,5,1.74,1196.686
"221","Albania","Europe",2022-02-27,1196277,41.64,386,271527,6,2.088,1205.736
"222","Albania","Europe",2022-03-01,1198759,41.73,139,271702,3,1.044,1208.521
"223","Albania","Europe",2022-03-07,1204250,41.92,40,272250,1,0.348,1212.349
"224","Albania","Europe",2022-03-10,1206964,42.01,67,272479,1,0.348,1212.698
"225","Albania","Europe",2022-03-14,1208831,42.08,26,272689,0,0,1213.046
"226","Albania","Europe",2022-03-15,1209791,42.11,22,272711,1,0.348,1213.394
"227","Albania","Europe",2022-03-24,1215199,42.3,93,273257,0,0,1214.438
"228","Albania","Europe",2022-03-29,1217699,42.39,97,273529,1,0.348,1215.482
"229","Albania","Europe",2022-03-31,1218665,42.42,69,273677,0,0,1215.482
"230","Albania","Europe",2022-04-04,1220014,42.47,43,273913,0,0,1215.482
"231","Albania","Europe",2022-04-07,1221185,42.51,53,274108,0,0,1215.482
"232","Albania","Europe",2022-04-11,1222698,42.56,0,274219,0,0,1215.83
"233","Albania","Europe",2022-04-14,1223943,42.6,56,274376,1,0.348,1216.526
"234","Albania","Europe",2022-04-20,1226046,42.68,71,274606,0,0,1216.874
"235","Albania","Europe",2022-04-24,1235239,43,37,274828,0,0,1216.874
"236","Algeria","Africa",2021-08-20,724812,1.62,578,190656,28,0.628,111.102
"237","Algeria","Africa",2021-09-04,3e+06,6.72,351,197659,26,0.583,121.009
"238","Algeria","Africa",2021-09-25,4032942,9.04,125,202574,9,0.202,129.257
"239","Algeria","Africa",2021-10-24,4751933,10.65,72,205822,4,0.09,132.014
"240","Algeria","Africa",2021-10-27,4796722,10.75,79,206069,5,0.112,132.327
"241","Algeria","Africa",2021-10-30,4815027,10.79,88,206358,5,0.112,132.641
"242","Algeria","Africa",2021-11-02,4872110,10.92,83,206649,3,0.067,132.843
"243","Algeria","Africa",2021-11-08,4897288,10.98,98,207254,5,0.112,133.358
"244","Algeria","Africa",2021-11-13,4930443,11.05,109,207873,6,0.134,133.964
"245","Algeria","Africa",2021-11-21,5298544,11.88,113,208952,4,0.09,134.95
"246","Algeria","Africa",2021-11-22,5314016,11.91,159,209111,5,0.112,135.062
"247","Algeria","Africa",2021-11-25,5340231,11.97,161,209624,6,0.134,135.398
"248","Algeria","Africa",2021-11-29,5380385,12.06,192,210344,6,0.134,135.913
"249","Algeria","Africa",2021-11-30,5391232,12.08,187,210531,7,0.157,136.07
"250","Algeria","Africa",2021-12-14,5554702,12.45,230,213288,4,0.09,137.953
"251","Algeria","Africa",2021-12-21,5609040,12.57,310,215145,8,0.179,138.917
"252","Algeria","Africa",2022-01-09,5796432,12.99,415,222157,9,0.202,142.077
"253","Algeria","Africa",2022-02-08,6003539,13.46,610,259088,13,0.291,149.429
"254","Algeria","Africa",2022-02-20,6076272,13.62,118,264054,10,0.224,152.342
"255","Algeria","Africa",2022-03-09,6110712,13.7,23,265346,2,0.045,153.754
"256","Algeria","Africa",2022-04-24,6481186,14.53,6,265767,1,0.022,154.091
"257","Algeria","Africa",2022-05-01,6481186,14.53,2,265782,0,0,154.091
"258","Andorra","Europe",2021-03-08,1172,1.52,27,11069,0,0,1447.889
"259","Andorra","Europe",2021-03-10,1264,1.63,41,11130,0,0,1447.889
"260","Andorra","Europe",2021-03-15,1265,1.64,23,11289,0,0,1460.817
"261","Andorra","Europe",2021-04-05,4484,5.8,55,12286,0,0,1512.527
"262","Andorra","Europe",2021-04-19,4681,6.05,0,12805,0,0,1590.092
"263","Andorra","Europe",2021-04-26,4681,6.05,23,13083,0,0,1603.02
"264","Andorra","Europe",2021-05-03,4699,6.07,13,13295,0,0,1641.803
"265","Andorra","Europe",2021-05-10,4702,6.08,6,13429,0,0,1641.803
"266","Andorra","Europe",2021-05-17,4704,6.08,45,13555,0,0,1641.803
"267","Andorra","Europe",2021-05-31,8303,10.73,34,13727,0,0,1641.803
"268","Andorra","Europe",2021-06-07,10938,14.14,19,13777,0,0,1641.803
"269","Andorra","Europe",2021-06-14,16416,21.22,13,13826,0,0,1641.803
"270","Andorra","Europe",2021-06-21,24598,31.8,22,13864,0,0,1641.803
"271","Andorra","Europe",2021-06-28,26613,34.4,0,13882,0,0,1641.803
"272","Andorra","Europe",2021-07-12,27010,34.92,80,14155,0,0,1641.803
"273","Andorra","Europe",2021-07-19,33904,43.83,86,14359,0,0,1641.803
"274","Andorra","Europe",2021-08-01,35573,45.99,0,14678,0,0,1654.73
"275","Andorra","Europe",2021-08-15,40616,52.51,0,14924,0,0,1667.658
"276","Andorra","Europe",2021-08-29,43008,55.6,0,15025,0,0,1680.585
"277","Andorra","Europe",2021-09-26,47720,61.69,0,15167,0,0,1680.585
"278","Andorra","Europe",2021-10-03,48309,62.45,0,15222,0,0,1680.585
"279","Andorra","Europe",2021-10-31,49535,64.04,0,15516,0,0,1680.585
"280","Andorra","Europe",2021-12-05,50333,65.07,0,18010,0,0,1706.441
"281","Andorra","Europe",2021-12-12,50551,65.35,0,19440,0,0,1719.368
"282","Andorra","Europe",2021-12-26,51392,66.44,0,21730,0,0,1796.934
"283","Andorra","Europe",2022-01-16,53046,68.58,0,29888,0,0,1835.716
"284","Andorra","Europe",2022-01-23,53104,68.65,0,33025,0,0,1861.571
"285","Andorra","Europe",2022-02-06,53208,68.79,0,36599,0,0,1900.354
"286","Andorra","Europe",2022-02-13,53250,68.84,0,37140,0,0,1913.282
"287","Andorra","Europe",2022-02-20,53301,68.91,0,37589,0,0,1939.137
"288","Andorra","Europe",2022-03-13,53367,68.99,0,38794,0,0,1964.992
"289","Andorra","Europe",2022-03-27,53389,69.02,0,39713,0,0,1977.92
"290","Andorra","Europe",2022-04-10,53406,69.04,0,40328,0,0,1977.92
"291","Andorra","Europe",2022-04-24,53414,69.05,0,41013,0,0,1977.92
"292","Angola","Africa",2021-05-12,40195,0.12,259,29405,6,0.177,19.008
"293","Angola","Africa",2021-05-18,75215,0.22,258,31045,8,0.236,20.186
"294","Angola","Africa",2021-05-21,126551,0.37,248,31909,5,0.147,20.894
"295","Angola","Africa",2021-05-26,196930,0.58,405,33338,7,0.206,21.866
"296","Angola","Africa",2021-05-31,230181,0.68,185,34551,2,0.059,22.573
"297","Angola","Africa",2021-06-08,375630,1.11,150,36004,3,0.088,23.664
"298","Angola","Africa",2021-06-10,447704,1.32,210,36325,4,0.118,24.017
"299","Angola","Africa",2021-06-15,492266,1.45,131,36921,6,0.177,24.813
"300","Angola","Africa",2021-06-20,513793,1.51,74,37678,3,0.088,25.314
"301","Angola","Africa",2021-06-24,523580,1.54,89,38091,3,0.088,25.962
"302","Angola","Africa",2021-06-28,544991,1.61,57,38613,2,0.059,26.257
"303","Angola","Africa",2021-07-05,561688,1.66,70,39300,2,0.059,26.964
"304","Angola","Africa",2021-07-12,599828,1.77,97,40055,4,0.118,27.672
"305","Angola","Africa",2021-07-19,634164,1.87,101,40906,12,0.354,28.556
"306","Angola","Africa",2021-08-03,710113,2.09,100,43070,4,0.118,30.118
"307","Angola","Africa",2021-08-09,722610,2.13,85,43747,4,0.118,31.031
"308","Angola","Africa",2021-08-16,727297,2.14,122,44739,3,0.088,32.505
"309","Angola","Africa",2021-08-20,728311,2.15,258,45583,5,0.147,33.536
"310","Angola","Africa",2021-08-25,731010,2.15,199,46539,10,0.295,34.656
"311","Angola","Africa",2021-09-01,920570,2.71,237,47781,10,0.295,36.159
"312","Angola","Africa",2021-09-11,958453,2.82,405,50348,5,0.147,39.106
"313","Angola","Africa",2021-09-19,983587,2.9,0,52307,0,0,40.903
"314","Angola","Africa",2021-09-26,1006732,2.97,326,55121,14,0.413,44.233
"315","Angola","Africa",2021-10-08,1210969,3.57,220,61023,10,0.295,47.534
"316","Angola","Africa",2021-10-14,1290152,3.8,242,62385,3,0.088,48.713
"317","Angola","Africa",2021-10-18,1437397,4.24,170,63012,6,0.177,49.214
"318","Angola","Africa",2021-10-20,1534757,4.52,143,63340,4,0.118,49.567
"319","Angola","Africa",2021-10-26,1665947,4.91,103,64033,1,0.029,50.157
"320","Angola","Africa",2021-11-02,1801831,5.31,29,64487,0,0,50.481
"321","Angola","Africa",2021-11-07,1977343,5.83,20,64674,1,0.029,50.687
"322","Angola","Africa",2021-11-11,2003907,5.91,42,64857,2,0.059,50.835
"323","Angola","Africa",2021-11-18,2281768,6.72,17,64985,0,0,50.952
"324","Angola","Africa",2021-11-21,2652808,7.82,13,65024,0,0,50.982
"325","Angola","Africa",2021-11-24,2760266,8.13,19,65080,1,0.029,51.011
"326","Angola","Africa",2021-12-02,3072475,9.05,25,65208,0,0,51.129
"327","Angola","Africa",2021-12-06,3280340,9.67,0,65259,0,0,51.129
"328","Angola","Africa",2021-12-09,3315757,9.77,14,65346,1,0.029,51.159
"329","Angola","Africa",2021-12-15,3559041,10.49,134,65565,0,0,51.188
"330","Angola","Africa",2021-12-23,3741250,11.03,1163,68362,2,0.059,51.365
"331","Angola","Africa",2021-12-30,3929727,11.58,1396,79871,4,0.118,51.984
"332","Angola","Africa",2022-01-06,3993302,11.77,989,87625,10,0.295,53.015
"333","Angola","Africa",2022-01-08,4174988,12.3,476,89251,10,0.295,53.605
"334","Angola","Africa",2022-01-12,4198940,12.37,759,91907,2,0.059,54.282
"335","Angola","Africa",2022-01-14,4308880,12.7,721,93302,5,0.147,54.577
"336","Angola","Africa",2022-01-23,4540048,13.38,680,96582,2,0.059,55.638
"337","Angola","Africa",2022-01-28,4731866,13.94,128,98029,0,0,55.785
"338","Angola","Africa",2022-02-02,4880035,14.38,41,98267,0,0,55.844
"339","Angola","Africa",2022-02-09,5088239,14.99,29,98453,0,0,55.874
"340","Angola","Africa",2022-02-15,5278086,15.55,41,98555,1,0.029,55.962
"341","Angola","Africa",2022-02-22,5448403,16.06,13,98671,0,0,55.962
"342","Angola","Africa",2022-03-02,5609044,16.53,0,98746,0,0,55.992
